name,website,phone,address,category,description,imageUrl
Lavocat's Greenhouse & Nursery,http://lavocat.com,(716) 741-7529,9550 E Quaker St, North Collins, NY 14111,Retail,"A family-owned greenhouse and nursery offering a wide selection of plants, flowers, and gardening supplies with personalized service.", 
Beanz on Main,,(716) 759-2323,10010 Main St, Clarence Center, NY 14032,Coffee Shop,"A community coffee shop known for its handcrafted beverages and friendly small-town atmosphere.", 
Just Shannon's Italian Ristorante,http://justshannons.com,(716) 759-7610,10016 Main St, Clarence Center, NY 14032,Restaurant,"A family-run Italian restaurant serving classic dishes like homemade pasta and pizzas in a cozy, casual setting.", 
Village Bake Shoppe,http://villagebakeshoppe.com,(716) 859-8210,8380 Main St, East Amherst, NY 14051,Bakery,"A rustic bakery and cafe offering artisan breads, pastries, and breakfast items with a warm, homey vibe.", 
Mr. B's Restaurant & Lounge,,(716) 631-5050,10365 Main St, Clarence Center, NY 14032,Restaurant,"A neighborhood eatery known for coffee, sandwiches, and pub fare, frequented by locals for its laid-back ambiance.", 
Lily's Boutique,,(716) 759-8054,8140 Main St, Clarence Center, NY 14032,Boutique,"A women's fashion boutique offering trendy clothing, accessories, and personalized styling in a charming setting.", 
Over the Moon Yoga & Wellness,http://overthemoonyogabuffalo.com,(716) 759-3982,10476 Transit Rd, Clarence, NY 14032,Other,"A local yoga studio offering classes and holistic wellness programs in a peaceful environment.", 
Black Hat Brew Works,https://blackhatbrew.com,(716) 628-2659,10067 Main St, Clarence Center, NY 14032,Bar,"A craft brewery with a friendly taproom featuring house-made beers and pub snacks, known for its artistic labels.", 
Legends Sports Bar & Grill,http://legendssportsbars.com,(716) 759-4800,10589 Main St, Clarence, NY 14032,Restaurant,"A local sports bar offering American comfort food, beers on tap, and live sports viewing in a casual setting.", 
Clarence Animal Hospital,https://clarenceanimalhospital.com,(716) 741-4457,10140 Main St, Clarence, NY 14031,Other,"A veterinary clinic providing pet care and medical services, dedicated to the health and well-being of local pets.", 
Unbridled Cafe,,(716) 759-5100,7744 Main St, Snyder, NY 14226,Restaurant,"A modern cafe and restaurant offering a creative menu and craft cocktails in a stylish setting (near Clarence).", 
Parcell's Italian Market & Deli,http://parcellsitalianmarket.com,(716) 741-1348,7725 Clarence Center Rd, Derby, NY 14047,Retail,"An Italian specialty market featuring imported foods, cheeses, and a deli counter with homemade sausage and prepared meals.", 
Templeton Landing,http://eattempleton.com,(716) 882-7429,5710 Main St, Williamsville, NY 14221,Bar,"A riverside restaurant and bar known for seafood, craft cocktails, and live music in a historic riverside building.", 
SweetSpot Confections,,(716) 759-0202,10198 Main St, Clarence Center, NY 14032,Bakery,"A boutique sweet shop specializing in artisanal chocolates, pastries, and custom desserts, popular for events and gifts.", 
Annie's Magical Playhouse,http://anniesmagicalplayhouse.com,(716) 741-5266,10500 Main St, Clarence, NY 14032,Other,"A children's indoor playground offering parties and daily play sessions in a creative, safe environment.", 

Tamarack Bar & Grill,http://tamarackbarandgrill.com,(716) 834-9304,111 Cleveland Dr, Cheektowaga, NY 14227 (near Amherst),Restaurant,"A welcoming sports bar and grill serving wings, burgers, and cold drinks, popular with locals after games.", 
Shalimar Indian Cuisine,http://shalimaramherst.com,(716) 834-9005,2157 Niagara Falls Blvd, Amherst, NY 14228,Restaurant,"A family-owned Indian restaurant offering a wide range of traditional dishes, including curries, tandoori, and vegetarian options.", 
Big Tree Books,,(716) 634-6393,10461 Main St, Clarence, NY 14032,Bookstore,"A local independent bookstore offering a curated selection of books and hosting author events and readings.", 
Blackthorn Pub,https://blackthornpub.com/amherst,(716) 831-0123,11 Bieber Pl, Amherst, NY 14228,Bar,"An Irish-inspired pub offering a full menu, pints of beer, and live music in a cozy pub atmosphere.", 
North Buffalo Coffee Roasters,http://nbcaffeeroasters.com,(716) 631-5664,2100 Sheridan Dr, Tonawanda, NY 14223,Coffee Shop,"A micro-roastery and cafe known for freshly roasted coffee beans and specialty espresso drinks, with a welcoming vibe.", 
The French Oven Pastry Shoppe,http://frenchovenpastry.com,(716) 839-2244,555 Niagara Falls Blvd, Amherst, NY 14228,Bakery,"A charming bakery and cafe serving European-style pastries, breads, and breakfast items in a quaint setting.", 
Joey's Tomato Pies,http://joeyspotatomapies.com,(716) 625-2664,5820 Main St, Williamsville, NY 14221,Bakery,"A local pizzeria famous for its signature tomato pies (thin-crust pizza) baked in wood-fired ovens.", 
